HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
ALAMO,AZ0005,288094,341044,288094,341044,0,,0,,200,,200,,,June 2003,2003
BIG SANDY,AZ0004,192155,243905,192155,243905,0,,0,,139,,139,,,June 2003,2003
BLACK MOUNTAIN,AZ0003,574833,1094309,566402,1006781,0,,0,,478,,478,,,December 2003,2001
CERBAT MOUNTAIN,AZ0002,60448,83043,60448,83043,90,,90,,0,,0,,,March 1995,2005
CIBOLA-TRIGO,AZ0011,281388,1027901,279595,918938,120,,120,,165,,165,,,December 2003,2002
HAVASU,AZ0010,308625,410313,308573,386692,0,,0,,170,,170,,,December 2002,2005
LAKE PLEASANT,AZ0006,60819,103460,60819,103460,0,,0,,208,,208,,,July 2002,2001
HARQUAHALA,AZ0008,117466,126254,,,,,0,,,,47,,,June 2002,
LITTLE HARQUAHALA MOUNTA,AZ0009,51945,65891,,,,,0,,,,0,,,September 1997,
PAINTED ROCKS,AZ0007,31286,38738,,,,,0,,,,25,,,September 1999,
TASSI-GOLD BUTTE,AZ0001,52873,103072,,,,,0,,,,10,,,January 2002,
OUTSIDE OF HERD AREAS,AZ000Z,,,,,,,20,,,,100,,,March 2002,
BITNER (From HA CA0268),CA0267,47526,50433,47526,50433,25,,59,,,,0,,,October 1993,2003
BUCKHORN (From HA CA0270),CA0262,67234,76126,67234,76126,85,,71,,,,0,,,November 2003,2004
CARTER RESERVOIR (From HA CA02,CA0269,21062,22934,21062,22934,35,,29,,,,0,,,August 2003,2004
CENTENNIAL,CA0654,358574,1030357,71353,318500,168,,257,,,,0,,,March 2004,2006
CHEMEHUEVI,CA0698,377671,409193,105253,113481,0,,0,,,,108,,,May 2003,2006
CHICAGO VALLEY,CA0681,311718,333028,258409,277598,12,,6,,,,0,,,March 2004,2003
CHOCOLATE-MULE MOUNTAINS,CA0671,340947,595856,150757,159161,0,,0,,,,121,,,December 2003,2005
