HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
ALAMO (3),AZ0005,288094,341044,288094,341044,0,,0,,160,,216,,,June 2003,2003
BIG SANDY (3),AZ0004,192155,243905,192155,243905,0,,0,,139,,184,,,June 2003,2003
BLACK MOUNTAIN,AZ0003,574833,1094309,566402,1006781,0,,0,,478,,585,,,November 2007,2001
CERBAT MOUNTAINS,AZ0002,60448,83043,60448,83043,90,,60,,0,,0,,,March 1995,
CIBOLA-TRIGO,AZ0011,281388,1027901,279595,918938,150,,285,,285,,393,,,December 2003,2002
HAVASU (3),AZ0010,308625,410313,308573,386692,0,,0,,166,,107,,,July 2008,2008
LAKE PLEASANT,AZ0006,60819,103460,60819,103460,0,,0,,208,,270,,,February 2008,2001
HARQUAHALA,AZ0008,117466,126254,,,,,0,,,,47,,,June 2002,
LITTLE HARQUAHALA MOUNTAINS,AZ0009,51945,65891,,,,,0,,,,0,,,September 1997,
PAINTED ROCKS,AZ0007,31286,38738,,,,,0,,,,20,,,January 2008,
TASSI-GOLD BUTTE,AZ0001,52873,103072,,,,,0,,,,10,,,January 2002,
OUTSIDE OF HERD AREAS,AZ000Z,,,,,,,45,,,,135,,,March 2002,
BITNER,CA0267,0,0,47526,50433,25,,32,,0,,0,,,September 2007,2007
BUCKHORN,CA0262,0,0,67234,76126,85,,413,,0,,0,,,November 2003,2004
CARTER RESERVOIR,CA0269,0,0,21062,22934,35,,125,,0,,0,,,August 2003,2004
CENTENNIAL,CA0654,358574,1030357,71353,318500,168,,254,,0,,52,,,February 2008,2008
CHEMEHUEVI,CA0698,377671,409193,105253,113481,0,,0,,119,,201,,,August 2007,2004
CHICAGO VALLEY,CA0681,311718,333028,258409,277598,12,,5,,0,,0,,,September 2005,2005
CHOCOLATE-MULE MOUNTAINS,CA0671,340947,595856,150757,159161,0,,0,,133,,120,,,March 2006,2006
COPPERSMITH,CA0261,0,0,60114,73330,75,,113,,0,,0,,,July 2005,2005
FORT SAGE,CA0241,13649,15906,13649,15906,29,,70,,0,,0,,,September 1988,2001
FOX HOG,CA0263,92223,96800,92223,96800,220,,437,,0,,0,,,August 2005,2005
HIGH ROCK,CA0264,138510,139037,94606,94700,120,,525,,0,,0,,,September 2006,2006
LEE FLAT,CA0652,133360,135509,71940,73248,0,,0,,15,,0,,,October 2001,2006
MASSACRE LAKES,CA0268,63077,65658,35872,37350,35,,130,,0,,0,,,October 1988,1988
NEW RAVENDALE,CA0243,23451,32182,9348,14896,25,,88,,0,,0,,,July 2004,2004
NUT MOUNTAIN,CA0266,0,0,38327,40120,55,,35,,0,,0,,,September 2007,2007
PALM CANYON,CA0662,2758,9531,2758,9531,6,,0,,0,,0,,,August 2002,2002
PIPER MOUNTAIN,CA0656,95937,104334,87876,96188,17,,0,,82,,0,,,April 1994,
RED ROCK LAKES,CA0251,13464,18610,13464,18610,25,,65,,0,,0,,,February 2008,2004
TWIN PEAKS,CA0242,636231,758072,636231,758072,758,,1599,,116,,210,,,August 2006,2006
WALL CANYON,CA0265,0,0,38909,41152,25,,43,,0,,0,,,September 2007,2007
WAUCOBA-HUNTER MOUNTAIN**,CA0651,464307,470239,22042,22579,0,,0,,11,,19,,,October 2001,2004
ROUND MOUNTAIN (Devils Garden Plateau)*,CA0252,7637,7730,7637,7730,10,,16,,0,,0,,,August 2004,2005
CIMA DOME,CA0695,90429,93201,93201,93201,,,0,,,,0,,,December 1992,
CLARK MOUNTAIN,CA0691,217231,233370,37376,37376,,,0,,,,60,,,January 2007,
COYOTE CANYON,CA0663,285,21420,0,0,,,0,,,,0,,,,
DEAD MOUNTAIN,CA0697,38580,42758,0,0,,,0,,,,30,,,April 1982,
MOUNTAINS,CA0693,174209,192742,186481,186481,,,0,,,,0,,,August 1999,
KRAMER,CA0682,5646,14024,0,0,,,0,,,,0,,,January 1990,
LAVA BEDS,CA0692,170681,179245,177600,177600,,,0,,,,0,,,May 1997,
MORONGO,CA0661,27438,38536,,,,,0,,,,0,,,February 1988,
NEW YEARS LAKE  (in CA0269),CA0260,256352,316269,,,,,0,,,,0,,,,
PANAMINT,CA0653,360407,414699,,,,,0,,,,69,,,March 2004,
PICACHO (within CA0671),CA0672,0,0,,,,,0,,,,0,,,November 2002,
PIUTE MOUNTAIN,CA0696,37335,39780,,,,,0,,,,33,,,October 1987,
SAND SPRING-LAST CHANCE,CA0657,233152,240580,,,,,0,,,,0,,,May 1995,
SLATE RANGE,CA0655,75713,512962,,,,,0,,,,34,,,February 2008,
TULEDAD (in CA0261 & CA0262),CA0270,2933,5304,,,,,0,,,,0,,,,
WOODS-HACKBERRY,CA0694,46343,56544,,,,,0,,,,0,,,December 1992,
OUTSIDE OF HERD AREAS,CA000Z,,,,,,,107,,,,67,,,January 2007,
LITTLE BOOK CLIFFS WILD HORSE RANG ,CO0766,51086,52687,35205,36130,150,,115,,0,,0,,,September 2007,2007
PICEANCE-EAST DOUGLAS CREEK,CO0161,158281,190022,158281,190022,235,,270,,0,,0,,,September 2006,2006
SAND WASH BASIN,CO0143,151548,156640,151548,156640,362,,162,,0,,0,,,September 2005,2008
SPRING CREEK BASIN,CO0384,43101,54601,21064,21962,65,,47,,0,,0,,,August 2007,2007
DOUGLAS MOUNTAIN,CO0144,65829,76721,,,,,0,,,,0,,,,
NATURITA RIDGE,CO0345,53803,63293,,,,,0,,,,0,,,,
NORTH PICEANCE (in CO0161),CO0163,76959,89355,,,,,18,,,,0,,,September 2006,
WEST DOUGLAS CREEK,CO0162,123341,128093,,,,,145,,,,0,,,October 2006,
OUTSIDE OF HERD AREAS,CO000Z,,,,,,,15,,,,0,,,September 2006,
BLACK MOUNTAIN,ID0006,46636,51353,46546,50903,60,,34,,0,,0,,,July 2007,2007
CHALLIS,ID0005,156563,167851,156563,167851,253,,419,,0,,0,,,August 2004,2004
FOUR MILE,ID0002,21002,25805,15995,18035,60,,117,,0,,0,,,November 2003,2004
HARD TRIGGER,ID0007,62159,69881,60118,67815,130,,91,,0,,0,,,August 2007,2007
SAND BASIN,ID0004,9448,11715,9448,11715,64,,105,,0,,0,,,October 2003,2004
SAYLOR CREEK,ID0003,89237,101875,89237,101875,50,,147,,0,,0,,,August 2005,2005
MORGAN CREEK,ID0009,21230,24046,,,,,0,,,,0,,,,
SHEEP MOUNTAIN,ID0008,13899,14792,,,,,0,,,,0,,,,
WEST CRANE CREEK,ID0001,8247,10338,,,,,0,,,,0,,,September 1989,
OUTSIDE OF HERD AREAS,ID000Z,,,,,,,0,,,,0,,,,
DIAMOND (All claimed-not mapped),ID0010,,,,,,,,,,,,,,,
PRYOR MOUNTAIN WILD HORSE RANGE  ,MT0251,28282,37147,28282,37147,105,,156,,0,,0,,,September 2003,
BARTON GULCH,MT0253,8087,18483,,,,,0,,,,0,,,,
DEVILS FENCE,MT0254,16414,68464,,,,,0,,,,0,,,,
ERVIN RIDGE,MT0252,6587,11762,,,,,0,,,,0,,,,
GARDEN CREEK,MT0255,13351,26251,,,,,0,,,,0,,,,
ROCKY HILLS,MT0257,25552,39367,,,,,0,,,,0,,,,
SWEETWATER,MT0256,6088,22129,,,,,0,,,,0,,,,
OUTSIDE OF HERD AREAS,MT000Z,,,,,,,39,,,,0,,,September 2003,
AMARGOSA VALLEY,NV0511,8172,8901,8172,8901,0,,0,,0,,0,,,April 1990,1990
ANTELOPE,NV0401,393070,400638,393070,400638,324,,372,,0,,0,,,January 2008,2008
ANTELOPE VALLEY,NV0107,496360,502914,496360,502914,259,,371,,0,,0,,,December 2007,2005
ASH MEADOWS,NV0509,97831,115492,97831,115492,0,,0,,0,,0,,,December 1993,1993
AUGUSTA MOUNTAINS,NV0311,311852,315980,176292,177639,308,,191,,0,,0,,,November 2007,2008
BALD MOUNTAIN,NV0603,139698,139880,139698,139880,215,,129,,0,,0,,,July 1981,
BLACK ROCK RANGE EAST,NV0209,89565,93438,89565,93438,93,,264,,0,,0,,,November 2004,2005
BLACK ROCK RANGE WEST,NV0227,91095,92994,91095,92994,93,,507,,0,,0,,,December 2004,2005
BLUE WING MOUNTAINS,NV0217,17854,17854,17854,17854,36,,34,,28,,21,,,November 2005,2006
BUFFALO HILLS,NV0220,124233,131860,124233,131860,314,,346,,0,,0,,,February 2005,2002
BULLFROG,NV0629,147322,157203,142101,151777,0,,0,,91,,101,,,August 1996,
CALICO MOUNTAINS,NV0222,157722,160137,157722,160137,333,,660,,0,,0,,,December 2004,2005
CALLAGHAN,NV0604,152723,156237,152723,156237,237,,134,,0,,0,,,August 2002,
CLAN ALPINE,NV0310,298649,302226,298649,302226,979,,685,,0,,0,,,October 2006,2000
DESATOYA,NV0606,157904,161737,157904,161737,180,,330,,0,,0,,,February 2004,2004
DIAMOND,NV0609,168950,211959,145388,166054,151,,238,,0,,0,,,July 2004,2004
DIAMOND HILLS NORTH,NV0104,70550,71534,70550,71534,37,,37,,0,,0,,,August 2004,2004
DIAMOND HILLS SOUTH,NV0412,20915,20915,20915,20915,22,,144,,0,,0,,,July 2004,2004
DOGSKIN MOUNTAINS,NV0302,6497,6524,6497,6524,15,,14,,0,,0,,,December 2005,2006
EAGLE,NV0414,0,0,106735,108460,210,,505,,0,,0,,,,
EL DORADO MOUNTAINS,NV0501,15039,95223,15031,16521,0,,0,,0,,0,,,March 2007,2007
FISH CREEK,NV0612,246839,251028,250331,252826,180,,118,,0,,0,,,February 2006,2006
FISH LAKE VALLEY**,NV0622,63830,67124,63797,67085,54,,26,,0,,0,,,December 2004,2005
FLANIGAN,NV0301,16260,17147,16260,17147,125,,118,,0,,0,,,August 2001,2001
FORT SAGE,NV0320,1940,1980,1940,1980,36,,0,,0,,0,,,,
FOX-LAKE RANGE,NV0228,172440,177724,172440,177724,204,,172,,0,,0,,,January 2005,2005
GARFIELD FLAT,NV0313,125423,142715,125423,142715,125,,200,,0,,0,,,August 2005,2005
GOLD BUTTE,NV0502,169224,271210,169204,178443,0,,0,,98,,72,,,March 2007,2007
GOLD MOUNTAIN,NV0628,106524,107638,106524,107638,0,,6,,78,,1,,,August 1996,2001
GOLDFIELD,NV0626,54256,63352,53271,62367,0,,8,,37,,20,,,November 1996,1996
GOSHUTE,NV0108,290153,303170,265272,267277,123,,233,,0,,0,,,January 2005,2005
GRANITE PEAK,NV0303,3981,4002,3981,4002,18,,23,,0,,0,,,October 2002,2004
GRANITE RANGE,NV0221,90790,103806,90790,103806,258,,364,,0,,0,,,February 2005,2005
HORSE MOUNTAIN,NV0308,49570,49780,49570,49780,95,,0,,0,,0,,,July 2000,2000
HOT CREEK,NV0616,79894,80761,54304,54657,41,,15,,0,,0,,,January 2006,2006
JACKSON MOUNTAINS,NV0208,275300,283699,275300,283699,217,,323,,0,,0,,,September 2007,2007
JOHNNIE**,NV0510,177310,179380,177310,179380,0,,59,,108,,102,,,January 2007,2007
KAMMA MOUNTAINS,NV0214,54410,57390,54410,57390,77,,79,,0,,0,,,November 2005,2006
LAHONTAN,NV0306,6953,9400,6953,9400,10,,47,,0,,0,,,February 2004,2004
LAVA BEDS,NV0215,232928,232999,232880,232948,148,,150,,16,,20,,,November 2005,2006
LITTLE FISH LAKE**,NV0614,113365,116284,28156,28739,39,,58,,0,,0,,,February 2006,2006
LITTLE HUMBOLDT,NV0102,52538,63944,15734,17152,80,,60,,0,,0,,,September 2006,2006
LITTLE OWYHEE,NV0200,454384,460129,454384,460129,298,,540,,0,,0,,,September 2004,2004
MARIETTA WILD BURRO RANGE,NV0316,64476,66056,64476,66056,0,,0,,104,,110,,,August 1999,2001
MAVERICK-MEDICINE,NV0105,318575,323480,318575,323480,276,,675,,0,,0,,,July 2006,2006
MCGEE MOUNTIAN,NV0210,41071,41112,41071,41112,0,,0,,41,,43,,,March 2006,2006
MONTEZUMA PEAK,NV0625,76557,77930,76557,77930,0,,50,,0,,28,,,November 1996,2001
MUDDY MOUNTAINS,NV0503,82709,187310,75856,78581,0,,4,,0,,0,,,March 2007,2007
NEVADA WILD HORSE RANGE,NV0524,10,1301638,10,1301638,500,,250,,0,,0,,,July 2007,2004
NEW PASS-RAVENSWOOD,NV0602,259099,260357,259099,260357,566,,407,,0,,0,,,November 2007,2008
NIGHTENGALE MOUNTAINS,NV0219,72754,76444,72754,76444,63,,68,,0,,4,,,November 2005,2006
NORTH STILLWATER,NV0229,176854,178935,176854,178935,205,,151,,0,,1,,,February 2003,
OWYHEE,NV0101,336260,338286,336260,338286,231,,510,,0,,0,,,September 2006,2003
PALMETTO,NV0624,117577,118279,117577,118279,76,,0,,0,,0,,,,
PANCAKE**,NV0415,0,0,853873,859988,493,,897,,0,,0,,,,
PAYMASTER,NV0621,99919,100591,99919,100591,38,,52,,0,,0,,,October 2006,2007
PILOT MOUNTAIN,NV0314,475449,477136,475449,477136,415,,342,,0,,0,,,July 2006,2006
PINE NUT MOUNTAINS,NV0305,182668,251893,94694,104318,179,,177,,0,,0,,,July 2003,2003
RED ROCK**,NV0504,157251,161972,157251,161972,27,,28,,49,,55,,,March 2007,2007
REVEILLE,NV0619,387558,388555,104515,105494,138,,77,,0,,0,,,February 2007,2007
ROBERTS MOUNTAIN,NV0607,221927,225908,99322,99992,150,,158,,0,,0,,,January 2008,2008
ROCK CREEK,NV0103,145143,183500,98526,121428,250,,439,,0,,10,,,May 2007,2007
ROCKY HILLS,NV0605,81477,84008,81477,84008,143,,86,,0,,0,,,November 1999,2001
SAND SPRINGS WEST,NV0630,173349,173365,157438,157438,49,,246,,0,,0,,,January 2006,2006
SAULSBURY**,NV0620,143397,144267,135261,135297,40,,46,,0,,0,,,January 2007,2007
SEVEN MILE**,NV0613,104001,104881,96771,97651,50,,118,,0,,0,,,February 2006,2006
SEVEN TROUGHS,NV0216,131409,148883,131388,148862,156,,170,,46,,58,,,December 2005,2006
SHAWAVE MOUNTAINS,NV0218,87790,107078,87790,107078,73,,76,,0,,0,,,December 2005,2006
