HERD AREA NAME,Herd Code ,HERD AREA BLM Acres,HERD AREA Total Acres,HERD MANAGEMENT AREA  BLM Acres ,HERD MANAGEMENT AREA Total Acres,Horse AML Low End,Horse AML High End,Horse Pop,% AML Horse,Burro AML Low End,Burro AML High End,Burro Pop,Burro % of AML,Population Inventory,Most Recent Gather,Most Recent Year at AML
ALAMO (3),AZ0005,288122,341055,189084,189379,0,,0,,160,,265,,,June 2003,2003
BIG SANDY (3),AZ0004,192142,243889,192142,243889,0,,0,,139,,182,,,November 2009,2003
BLACK MOUNTAIN,AZ0003,574242,1093128,543307,773136,0,,0,,478,,635,,,January 2010,2001
CERBAT MOUNTAINS,AZ0002,60420,83006,60420,83006,90,,60,,0,,0,,,February 2001,2010
CIBOLA-TRIGO,AZ0011,281023,1034422,185132,634218,150,,285,,285,,452,,,November 2009,2002
HAVASU (3),AZ0010,308496,409901,267286,269168,0,,0,,166,,123,,,July 2009,2010
LAKE PLEASANT,AZ0006,60836,103473,60836,103473,0,,0,,208,,310,,,February 2006,2001
HARQUAHALA,AZ0008,117467,126256,,,,,0,,,,60,,,June 2002,
LITTLE HARQUAHALA MOUNTAINS,AZ0009,51945,65893,,,,,0,,,,0,,,September 1997,
PAINTED ROCKS,AZ0007,31288,38737,,,,,0,,,,25,,,January 2008,
TASSI-GOLD BUTTE,AZ0001,53046,103437,,,,,0,,,,10,,,January 2002,
OUTSIDE OF HERD AREAS,AZ000Z,,,,,,,55,,,,186,,,March 2002,
BITNER (from CA0268),CA0267,0,0,47766,53748,25,,38,,0,,0,,,September 2007,2007
BUCKHORN (from CA0270),CA0262,0,0,67415,76590,85,,61,,0,,0,,,December 2009,2010
CARTER RESERVOIR (from CA0260),CA0269,0,0,21591,23468,35,,36,,0,,0,,,September 2009,2010
CENTENNIAL,CA0654,356267,1027948,71350,318499,168,,304,,0,,65,,,September 2007,2008
CHEMEHUEVI,CA0698,377572,408645,128861,138333,0,,0,,108,,119,,,September 2009,2010
CHICAGO VALLEY,CA0681,312055,333386,258867,278105,12,,6,,0,,0,,,May 1998,2010
CHOCOLATE-MULE MOUNTAINS,CA0671,340595,595429,192220,203539,0,,0,,133,,144,,,October 2008,2010
COPPERSMITH (from CA0270),CA0261,0,0,60246,73422,75,,61,,0,,0,,,December 2009,2010
FORT SAGE,CA0241,13666,15967,13666,15967,29,,28,,0,,0,,,September 1998,2010
FOX HOG,CA0263,121541,127577,121086,127122,220,,518,,0,,0,,,August 2005,2005
HIGH ROCK,CA0264,209245,213156,94612,94708,120,,630,,0,,0,,,September 2006,2006
LEE FLAT,CA0652,135616,137872,71964,73380,0,,0,,15,,0,,,October 2001,2010
MASSACRE LAKES,CA0268,118566,129336,36084,39942,35,,156,,0,,0,,,October 1988,1988
NEW RAVENDALE,CA0243,23428,32137,23428,32137,25,,17,,0,,0,,,September 2009,2010
NUT MOUNTAIN (from CA0264 & CA0268),CA0266,0,0,38396,40245,55,,42,,0,,0,,,September 2007,2010
PIPER MOUNTAIN,CA0656,95649,104015,87909,96261,17,,20,,82,,0,,,September 1993,2010
RED ROCK LAKES,CA0251,13413,18541,13413,18541,25,,65,,0,,210,,,December 2009,2011
TWIN PEAKS,CA0242,635356,758128,635356,758128,758,,1919,,116,,0,,,August 2006,2006
WALL CANYON (from CA0264),CA0265,0,0,39119,41158,25,,52,,0,,23,,,September 2007,2007
WAUCOBA-HUNTER MOUNTAIN**,CA0651,464303,470238,22098,22670,0,,0,,11,,0,,,October 2001,2004
ROUND MOUNTAIN (Devils Garden Plateau)*,CA0252,7635,7759,7635,7759,10,,19,,0,,0,,,October 2009,2005
CIMA DOME,CA0695,90433,93201,,,,,0,,,,0,,,December 1992,
CLARK MOUNTAIN,CA0691,217189,233351,,,,,0,,,,60,,,January 2007,
COYOTE CANYON,CA0663,8319,21609,,,,,0,,,,0,,,,
DEAD MOUNTAIN,CA0697,38581,42759,,,,,0,,,,36,,,April 1982,
GRANITE-PROVIDENCE MOUNTAINS,CA0693,174208,192740,,,,,0,,,,0,,,August 1999,
KRAMER,CA0682,5646,14024,,,,,0,,,,0,,,January 1990,
LAVA BEDS,CA0692,169131,177332,,,,,0,,,,0,,,May 1997,
MORONGO,CA0661,27441,39159,,,,,0,,,,0,,,February 1988,
NEW YEARS LAKE  (into CA0269),CA0260,284915,350225,,,,,0,,,,0,,,,
PALM CANYON,CA0662,2758,10162,,,,,0,,,,0,,,,
PANAMINT,CA0653,360419,414699,,,,,0,,,,24,,,March 2004,
PICACHO (within CA0671),CA0672,43633,46646,,,,,0,,,,0,,,November 2002,
PIUTE MOUNTAIN,CA0696,37333,39781,,,,,0,,,,40,,,October 1987,
SAND SPRING-LAST CHANCE,CA0657,233741,240993,,,,,0,,,,0,,,May 1995,
SLATE RANGE,CA0655,75713,512967,,,,,0,,,,18,,,February 2008,
TULEDAD (in CA0261 & CA0262),CA0270,130213,155327,,,,,0,,,,0,,,,
WOODS-HACKBERRY,CA0694,46351,56542,,,,,0,,,,0,,,December 1992,
OUTSIDE OF HERD AREAS,CA000Z,,,,,,,107,,,,330,,,January 2007,
LITTLE BOOK CLIFFS WILD HORSE RANGE,CO0766,51040,52634,35178,36100,150,,130,,0,,0,,,September 2007,2010
PICEANCE-EAST DOUGLAS CREEK,CO0161,131018,160841,158332,190016,235,,265,,0,,0,,,September 2006,2010
SAND WASH BASIN,CO0143,151435,156502,151435,156502,362,,230,,0,,0,,,October 2008,2010
SPRING CREEK BASIN,CO0384,43045,54528,21043,21395,65,,62,,0,,0,,,August 2007,2010
DOUGLAS MOUNTAIN,CO0144,65741,117512,,,,,0,,,,0,,,June 2002,
NATURITA RIDGE,CO0345,53739,63204,,,,,0,,,,0,,,September 1997,
NORTH PICEANCE (in CO0161),CO0163,104168,118405,,,,,49,,,,0,,,October 2010,
WEST DOUGLAS CREEK,CO0162,122909,127649,,,,,86,,,,0,,,October 2006,
OUTSIDE OF HERD AREAS,CO000Z,,,,,,,66,,,,0,,,October 2010,
BLACK MOUNTAIN,ID0006,47434,50904,47434,50904,60,,42,,0,,0,,,July 2007,2010
CHALLIS,ID0005,156545,167848,156545,167848,253,,225,,0,,0,,,December 2009,2010
FOUR MILE,ID0002,20457,25806,15441,18034,60,,37,,0,,0,,,October 2009,2010
HARD TRIGGER,ID0007,62149,69910,60090,67882,130,,91,,0,,0,,,August 2007,2010
