HERD AREA NAME,Herd Code,HA BLM Acres,HA Total Acres,HMA BLM Acres,HMA Total Acres,Horse AML Low End (1),AML High End,Horse Pop,"% of  AML, Horse (5)",Burro AML Low End,End AML,Burro Pop,"% of  AML, Burro (5)",Population Inventory,Last Gather,Most Recent
ALAMO (4),AZ0005,288122,341055,189084,189379,0,0,0,,128,160,625,4,April 2017,June 2003,2003
BIG SANDY (4),AZ0004,192142,243889,192142,243889,0,0,0,,111,139,1201,9,April 2017,August 2017,2003
BLACK MOUNTAIN,AZ0003,574242,1093128,543307,773136,0,0,0,,382,478,1551,3,April 2017,September 2017,2001
CERBAT MOUNTAINS,AZ0002,60420,83006,60420,83006,72,90,70,1,0,0,0,,August 2006,July 2007,2016
CIBOLA-TRIGO (8),AZ0011,281023,1034422,185132,634218,120,150,158,1,228,285,487,2,March 2017,September 2017,2002
HAVASU (4),AZ0010,308496,409901,267286,269168,0,0,0,,133,166,206,1,April 2017,October 2017,2014
LAKE PLEASANT,AZ0006,60836,103473,60836,103473,0,0,0,,166,208,552,3,April 2017,September 2017,2001
HARQUAHALA,AZ0008,117467,126256,,,,,0,,,,177,,,June 2002,
LITTLE HARQUAHALA MOUNTAINS,AZ0009,51945,65893,,,,,0,,,,0,,,September 1997,
PAINTED ROCKS,AZ0007,31288,38737,,,,,0,,,,7,,,June 2007,
TASSI-GOLD BUTTE,AZ0001,53046,103437,,,,,0,,,,67,,,August 2006,
OUTSIDE OF HERD AREAS (7),AZ000Z,,,,,,,90,,,,444,,,November 2009,
BITNER (from CA0268) (3),CA0267,0,0,47766,53748,15,25,50,2,0,0,0,,June 2017,October 2017,2014
BUCKHORN (from CA0270) (3),CA0262,0,0,67415,76590,59,85,186,2,0,0,0,,May 2017,December 2009,2012
CARTER RESERVOIR (from CA0260) (3),CA0269,0,0,21591,23468,25,35,85,2,0,0,0,,June 2017,October 2017,2011
CENTENNIAL (4),CA0654,356267,1027948,71350,318499,134,168,456,3,0,0,451,,May 2017,January 2017,2008
CHEMEHUEVI (10),CA0698,377572,408645,128861,138333,0,0,0,,97,108,890,8,May 2017,January 2017,2010
CHICAGO VALLEY,CA0681,312055,333386,258867,278105,10,12,12,Within AML,0,0,0,,January 2017,September 2007,2016
CHOCOLATE-MULE MOUNTAINS (11),CA0671,340595,595429,192220,203539,0,0,0,,109,133,300,2,March 2017,October 2008,2012
COPPERSMITH (from CA0270) (3),CA0261,0,0,60246,73422,50,75,111,1,0,0,0,,May 2017,December 2009,2012
FORT SAGE (5),CA0241,13666,15967,13666,15967,24,29,52,2,0,0,0,,May 2017,September 1998,2001
FOX HOG,CA0263,121541,127577,121086,127122,120,226,383,2,0,0,0,,June 2017,November 2017,2014
HIGH ROCK,CA0264,209245,213156,94612,94708,78,120,188,2,0,0,0,,June 2017,November 2017,2014
LEE FLAT,CA0652,135616,137872,71964,73380,0,0,0,,12,15,0,0,October 2009,October 2001,2016
MASSACRE LAKES,CA0268,118566,129336,36084,39942,25,45,222,5,0,0,0,,June 2017,October 1988,1988
NEW RAVENDALE,CA0243,23428,32137,23428,32137,10,25,41,2,0,0,0,,May 2017,September 2009,2012
NUT MOUNTAIN (from CA0264 & CA0268) (3),CA0266,0,0,38396,40245,30,55,86,2,0,0,0,,June 2017,October 2017,2014
PIPER MOUNTAIN,CA0656,95649,104015,87909,96261,14,17,0,0,66,82,0,0,November 2017,September 1993,2016
RED ROCK LAKES,CA0251,13413,18541,13413,18541,16,25,41,2,0,0,0,,October 2017,August 2017,2014
TWIN PEAKS,CA0242,635356,758128,635356,758128,448,758,1688,2,72,116,399,5,May 2017,November 2017,2006
WALL CANYON (from CA0264) (3),CA0265,0,0,39119,41158,15,25,52,2,0,0,0,,June 2017,October 2017,2007
WAUCOBA-HUNTER MOUNTAIN**,CA0651,464303,470238,22098,22670,0,0,0,,9,11,67,6,April 2017,October 2001,2004
ROUND MOUNTAIN (Devils Garden Plateau)*,CA0252,7635,7759,7635,7759,8,10,108,11,0,0,0,,February 2017,October 2009,2005
CIMA DOME,CA0695,90433,93201,,,,,0,,,,0,,,December 1992,
CLARK MOUNTAIN,CA0691,217189,233351,,,,,0,,,,152,,,January 2007,
COYOTE CANYON,CA0663,8319,21609,,,,,0,,,,0,,,November 2001,
DEAD MOUNTAIN,CA0697,38581,42759,,,,,0,,,,102,,,April 1982,
