herd_id,name,state_id,gis
AZ0001,TASSI-GOLD BUTTE,AZ,
AZ0002,CERBAT MOUNTAIN,AZ,
AZ0003,BLACK MOUNTAIN,AZ,
AZ0004,BIG SANDY,AZ,
AZ0005,ALAMO,AZ,
AZ0006,LAKE PLEASANT,AZ,
AZ0007,PAINTED ROCKS,AZ,
AZ0008,HARQUAHALA,AZ,
AZ0009,LITTLE HARQUAHALA MOUNTA,AZ,
AZ000Z,OUTSIDE OF HERD AREAS,AZ,
AZ0010,HAVASU,AZ,
AZ0011,CIBOLA-TRIGO,AZ,
CA000Z,OUTSIDE OF HERD AREAS,CA,
CA0240,SHAFFER MOUNTAIN,CA,
CA0241,FORT SAGE,CA,
CA0242,TWIN PEAKS,CA,
CA0243,NEW RAVENDALE,CA,
CA0251,RED ROCK LAKES,CA,
CA0252,ROUND MOUNTAIN (DEVILS GARDE,CA,
CA0260,NEW YEARS LAKE,CA,
CA0261,COPPERSMITH,CA,
CA0262,BUCKHORN,CA,
CA0263,FOX HOG,CA,
CA0264,HIGH ROCK,CA,
CA0265,WALL CANYON,CA,
CA0266,NUT MOUNTAIN,CA,
CA0267,BITNER,CA,
CA0268,MASSACRE LAKES,CA,
CA0269,CARTER RESERVOIR,CA,
CA0270,TULEDAD,CA,
CA0651,WAUCOBA-HUNTER MOUNTAIN,CA,
CA0652,LEE FLAT,CA,
CA0653,PANAMINT,CA,
CA0654,CENTENNIAL,CA,
CA0655,SLATE RANGE,CA,
CA0656,PIPER MOUNTAIN,CA,
CA0657,SAND SPRING-LAST CHANCE,CA,
CA0661,MORONGO,CA,
CA0662,PALM CANYON,CA,
CA0663,COYOTE CANYON,CA,
CA0671,CHOCOLATE-MULE MOUNTAINS,CA,
CA0672,PICACHO ( within CA0671),CA,
CA0681,CHICAGO VALLEY,CA,
CA0682,KRAMER,CA,
CA0691,CLARK MOUNTAIN,CA,
CA0692,LAVA BEDS,CA,
CA0693,GRANITE-PROVIDENCE MOUNTAINS,CA,
CA0694,WOODS-HACKBERRY,CA,
CA0695,CIMA DOME,CA,
CA0696,PIUTE MOUNTAIN,CA,
CA0697,DEAD MOUNTAIN,CA,
CA0698,CHEMEHUEVI,CA,
CO000Z,OUTSIDE OF HERD AREAS,CO,
CO0143,SAND WASH BASIN,CO,
CO0144,DOUGLAS MOUNTAIN,CO,
CO0161,PICEANCE-EAST DOUGLAS CREEK,CO,
CO0162,WEST DOUGLAS CREEK,CO,
CO0163,NORTH PICEANCE (in CO0161),CO,
CO0345,NATURITA RIDGE,CO,
CO0384,SPRING CREEK BASIN,CO,
CO0766,LITTLE BOOK CLIFFS,CO,
ID0001,WEST CRANE CREEK,ID,
ID0002,FOUR MILE,ID,
ID0003,SAYLOR CREEK,ID,
ID0004,SAND BASIN,ID,
ID0005,CHALLIS,ID,
ID0006,BLACK MOUNTAIN,ID,
ID0007,HARD TRIGGER,ID,
ID0008,SHEEP MOUNTAIN,ID,
ID0009,MORGAN CREEK,ID,
ID000Z,OUTSIDE OF HERD AREAS,ID,
ID0010,DIAMOND (All claimed-not mapped),ID,
MT000Z,OUTSIDE OF HERD AREAS,MT,
MT0251,PRYOR MOUNTAIN,MT,
MT0252,ERVIN RIDGE,MT,
MT0253,BARTON GULCH,MT,
MT0254,DEVILS FENCE,MT,
MT0255,GARDEN CREEK,MT,
MT0256,SWEETWATER,MT,
MT0257,ROCKY HILLS,MT,
NM0001,BORDO ATRAVESADO,NM,
NM0002,GODFREY HILLS,NM,
NM0003,CARRACAS MESA,NM,
NM0004,PUNCHE VALLEY,NM,
NM000Z,OUTSIDE OF HERD AREAS,NM,
NV000Z,OUTSIDE OF HERD AREAS,NV,
NV0101,OWYHEE,NV,
NV0102,LITTLE HUMBOLDT,NV,
NV0103,ROCK CREEK,NV,
NV0104,DIAMOND HILLS NORTH,NV,
NV0105,MAVERICK-MEDICINE,NV,
NV0106,NORTH CHERRY CREEK-Include,NV,
NV0107,ANTELOPE VALLEY,NV,
NV0108,GOSHUTE,NV,
NV0109,SPRUCE-PEQUOP,NV,
NV0110,TOANO,NV,
NV0200,LITTLE OWYHEE,NV,
NV0201,SNOWSTORM MOUNTAINS,NV,
NV0202,OSGOOD MOUNTAINS,NV,
NV0203,HOT SPRING MOUNTAINS,NV,
NV0204,BLOODY RUNS,NV,
NV0205,SLUMBERING HILLS,NV,
NV0206,KRUM HILLS,NV,
NV0207,EUGENE MOUNTAINS,NV,
NV0208,JACKSON MOUNTAINS,NV,
NV0209,BLACK ROCK RANGE EAST,NV,
NV0210,MCGEE MOUNTIAN,NV,
NV0211,ANTELOPE RANGE,NV,
NV0212,SELENITE RANGE,NV,
NV0213,TRUCKEE RANGE,NV,
NV0214,KAMMA MOUNTAINS,NV,
NV0215,LAVA BEDS,NV,
NV0216,SEVEN TROUGHS,NV,
NV0217,BLUE WING MOUNTAINS,NV,
NV0218,SHAWAVE MOUNTAINS,NV,
NV0219,NIGHTENGALE MOUNTAINS,NV,
NV0220,BUFFALO HILLS,NV,
NV0221,GRANITE RANGE,NV,
NV0222,CALICO MOUNTAINS,NV,
NV0223,SONOMA RANGE,NV,
NV0224,HUMBOLDT,NV,
NV0225,EAST RANGE,NV,
NV0226,WARM SPRINGS CANYON,NV,
NV0227,BLACK ROCK RANGE WEST,NV,
NV0228,FOX-LAKE RANGE,NV,
NV0229,NORTH STILLWATER,NV,
NV0230,SOUTH SLUMBERING HILLS,NV,
NV0231,TOBIN RANGE,NV,
NV0232,TRINITY RANGE,NV,
NV0233,LOWER PARADISE VALLEY,NV,
NV0301,FLANIGAN,NV,
NV0302,DOGSKIN MOUNTAINS,NV,
NV0303,GRANITE PEAK,NV,
NV0304,PAH RAH MOUNTAINS,NV,
NV0305,PINENUT MOUNTAINS,NV,
NV0306,LAHONTAN,NV,
NV0307,HORSE SPRING,NV,
NV0308,HORSE MOUNTAIN,NV,
NV0309,SOUTH STILLWATER,NV,
NV0310,CLAN ALPINE,NV,
NV0311,AUGUSTA MOUNTAINS,NV,
NV0312,WASSUK,NV,
NV0313,GARFIELD FLAT,NV,
NV0314,PILOT MOUNTAIN,NV,
NV0315,GABBS VALLEY RANGE,NV,
NV0316,MARIETTA,NV,
NV0317,MONTGOMERY PASS,NV,
NV0318,POWELL MOUNTAIN,NV,
NV0319,TULE RIDGE-MAHOGANY FLAT,NV,
NV0401,ANTELOPE,NV,
NV0402,MONTE CRISTO,NV,
NV0403,BUCK-BALD,NV,
NV0404,WILSON CREEK,NV,
NV0405,SAND SPRINGS EAST,NV,
NV0406,CHERRY CREEK,NV,
NV0407,BUTTE,NV,
NV0408,JAKES WASH,NV,
NV0409,WHITE RIVER,NV,
NV0410,DRY LAKE,NV,
NV0411,SEAMAN RANGE,NV,
NV0412,DIAMOND HILLS SOUTH,NV,
NV0413,MORIAH,NV,
NV0490,SCHELL CREEK,NV,
NV0491,MAVRICK-BUTTE,NV,
NV0492,PATTERSON-EAGLE,NV,
NV0493,CAVE VALLEY,NV,
NV0494,GOLDEN GATE,NV,
NV0495,GOSHUTE,NV,
NV0496,FORTIFICATION,NV,
NV0501,ELDORADO MOUNTAINS,NV,
NV0502,GOLD BUTTE,NV,
NV0503,MUDDY MOUNTAINS,NV,
NV0504,RED ROCK,NV,
NV0505,BLUE DIAMOND,NV,
NV0506,MT POTOSI,NV,
NV0507,WHEELER PASS,NV,
NV0508,MOUNT STERLING ,NV,
NV0509,ASH MEADOWS,NV,
NV0510,JOHNNIE,NV,
NV0511,AMARGOSA VALLEY,NV,
NV0512,MORMON MOUNTAINS,NV,
NV0513,MEADOW VALLEY MOUNTAINS,NV,
NV0514,BLUE NOSE PEAK,NV,
NV0515,DELAMAR,NV,
NV0516,CLOVER MOUNTAINS,NV,
NV0517,CLOVER CREEK,NV,
NV0518,APPLEWHITE,NV,
NV0519,LITTLE MOUNTAIN,NV,
NV0520,MILLER FLAT,NV,
NV0521,DEER LODGE CANYON,NV,
NV0522,HIGHLAND PEAK,NV,
NV0523,RATTLESNAKE,NV,
NV0524,NEVADA WILD HORSE RANGE,NV,
NV0525,SPRING MOUNTAIN,NV,
NV0526,LUCKY STRIKE,NV,
NV0527,LAST CHANCE,NV,
NV0528,MOUNT STERLING,NV,
NV0601,SOUTH SHOSHONE,NV,
NV0602,NEW PASS-RAVENSWOOD,NV,
NV0603,BALD MOUNTAIN,NV,
NV0604,CALLAGHAN,NV,
NV0605,ROCKY HILLS,NV,
NV0606,DESATOYA,NV,
NV0607,ROBERTS MOUNTAIN,NV,
NV0608,WHISTLER MOUNTAIN,NV,
NV0609,DIAMOND,NV,
NV0610,HICKSON SUMMIT,NV,
NV0611,NORTH MONITOR,NV,
NV0612,FISH CREEK,NV,
NV0613,SEVEN MILE,NV,
NV0614,LITTLE FISH LAKE,NV,
NV0615,DOBBIN SUMMIT,NV,
NV0616,HOT CREEK,NV,
NV0617,MONITOR ,NV,
NV0618,STONE CABIN,NV,
NV0619,REVEILLE,NV,
NV0620,SAULSBURY,NV,
NV0621,PAYMASTER,NV,
NV0622,FISH LAKE VALLEY,NV,
NV0623,SILVER PEAK,NV,
NV0624,PALMETTO,NV,
NV0625,MONTEZUMA PEAK,NV,
NV0626,GOLDFIELD,NV,
NV0627,STONEWALL,NV,
NV0628,GOLD MOUNTAIN,NV,
NV0629,BULLFROG,NV,
NV0630,SAND SPRINGS WEST,NV,
NV0686,BULTER BASIN,NV,
NV0687,AUSTIN,NV,
NV0688,SMITH CREEK,NV,
NV0689,GRASS VALLEY,NV,
NV0690,DUNLAP,NV,
NV0691,IONE,NV,
NV0692,SOUTH PANCAKE,NV,
NV0693,UPPER HOT CREEK,NV,
NV0694,PARK MOUNTAIN,NV,
NV0695,MOUNT AIRY,NV,
NV0696,QUINN,NV,
NV0697,NORTH SHOSHONE,NV,
NV0698,KOBEH VALLE,NV,
NV0699,WILLOW CREEK,NV,
OR0001,PAISLEY DESERT,OR,
OR0002,BEATYS BUTTE,OR,
OR0003,SOUTH STEENS,OR,
OR0004,HEATH CREEK-SHEEPSHEAD,OR,
OR0005,ALVORD-TULE SPRINGS,OR,
OR0006,PALOMINO BUTTES,OR,
OR0007,WARM SPRINGS,OR,
OR0008,STINKINGWATER,OR,
OR0009,RIDDLE MOUNTAIN,OR,
OR000Z,OUTSIDE HERD AREAS,OR,
OR0010,KIGER,OR,
OR0011,HOG CREEK,OR,
OR0012,THREE FINGERS,OR,
OR0013,COLD SPRINGS,OR,
OR0014,COYOTE LAKE,OR,
OR0015,JACKIES BUTTE,OR,
OR0016,SHEEPSHEAD/HEATH CREEK,OR,
OR0017,SAND SPRINGS,OR,
OR0018,POKEGAMA,OR,
OR0019,MURDERER'S CREEK,OR,
OR0021,CHERRY CREEK,OR,
OR0022,RHODES CANYON,OR,
OR0023,LAKERIDGE,OR,
OR0024,POTHOLES,OR,
OR0025,BASQUE,OR,
OR0026,COTTONWOOD BASIN,OR,
OR0027,COTTONWOOD CREEK,OR,
OR0028,ATTURBURY,OR,
OR0029,STOCKADE,OR,
OR0030,MORGER,OR,
OR0031,DIAMOND CRATERS,OR,
OR0032,MIDDLE FORK,OR,
OR0033,SECOND FLAT,OR,
OR0034,EAST WAGONTIRE,OR,
OR0035,SOUTH CATLOW,OR,
OR0036,PUEBLO-LONE MOUNTAIN,OR,
OR0037,LIGGETT TABLE,OR,
OR0038,SMYTH CREEK,OR,
UT000Z,OUTSIDE HERD AREAS,UT,
UT0241,CEDAR MOUNTAIN,UT,
UT0242,ONAQUI MOUNTAIN,UT,
UT0243,OQUIRRH MOUNTAIN,UT,
UT0244,BIG CREEK,UT,
UT0440,BIBLE SPRING,UT,
UT0441,BLAWN WASH,UT,
UT0442,CHLORIDE CANYON,UT,
UT0443,CHOKE CHERRY,UT,
UT0444,FOUR MILE,UT,
UT0445,FRISCO,UT,
UT0446,MOUNT ELINOR,UT,
UT0447,NORTH HILLS,UT,
UT0448,SULPHUR,UT,
UT0449,TILLY CREEK,UT,
UT0461,HARVEYS FEAR,UT,
UT0481,MOODY-WAGON BOX MESA,UT,
UT0551,BURBANK,UT,
UT0552,CONFUSION,UT,
UT0553,CONGER,UT,
UT0554,KINGTOP,UT,
UT0555,SWASEY,UT,
UT0571,CANYON LANDS,UT,
UT0641,RANGE CREEK,UT,
UT0651,MUDDY CREEK,UT,
UT0652,SINBAD,UT,
UT0653,ROBBERS ROOST,UT,
UT0851,BONANZA,UT,
UT0852,HILL CREEK,UT,
UT0853,WINTER RIDGE,UT,
WY0001,SALT WELLS CREEK,WY,
WY0002,DIVIDE BASIN,WY,
WY0003,WHITE MOUNTAIN,WY,
WY0004,DESERT,WY,
WY0005,GRANGER LEASE,WY,
WY0006,LABARGE,WY,
WY0007,LANDER,WY,
WY0008,STEWART CREEK,WY,
WY0009,"ADOBE TOWN (From HAs WY0044,0",WY,
WY000Z,OUTSIDE OF HERD AREAS,WY,
WY0010,CYCLONE RIM,WY,
WY0011,FIFTEENMILE,WY,
WY0012,MCCULLOUGH PEAKS,WY,
WY0013,TRIANGLE,WY,
WY0014,GOLD CREEK,WY,
WY0015,CUMBERLAND,WY,
WY0016,SLATE CREEK,WY,
WY0017,CARTER LEASE,WY,
WY0018,NORTH GRANGER,WY,
WY0019,NORTH SHOSHONE,WY,
WY0020,ALKALI SPRING CREEK,WY,
WY0021,SAND DRAW,WY,
WY0022,ZIMMERMAN SPRINGS,WY,
WY0023,FOSTER GULCH/DRY CREEK,WY,
WY0024,DEER CREEK,WY,
WY0025,BOLTEN,WY,
WY0026,ROCK CREEK MOUNTIAN,WY,
WY0027,MUSKRAT BASIN,WY,
WY0028,DISHPAN BUTTE,WY,
WY0029,CONANT CREEK,WY,
WY0030,EAST BEAVER,WY,
WY0031,ANTELOPE HILLS,WY,
WY0032,DOTY MOUNTAIN/CHEROKEE,WY,
WY0033,STEWART CREEK,WY,
WY0034,ARAPAHO CREEK,WY,
WY0035,LOST CREEK,WY,
WY0036,CROOKS MOUNTAIN,WY,
WY0037,GREEN MOUNTAIN,WY,
WY0038,ROCK SPRINGS,WY,
WY0039,LITTLE COLORADO,WY,
WY0040,CHECKERBOARD SOUTH,WY,
WY0041,COPPER MOUNTAIN,WY,
WY0042,SAND CREEK EAST,WY,
WY0043,CONTINENTAL PEAK,WY,
WY0044,SAND CREEK WEST,WY,
WY007,LANDER,WY,
WY008,SEVEN LAKES/CHAIN LAKES,WY,
NV0414,Eagle,NV,
NV0320,FORT SAGE,NV,
NV0415,PANCAKE**,NV,
NV0416,SILVER KING,NV,
NV0417,TRIPLE B,NV,
NV0452,MURPHYS WASH,NV,
OR0020,EAST KIGER,OR,
WY0045,FLAT TOP,WY,
