year,state_id,horse_adopted,burros_adopted,horses_removed,burros_removed
2000,AK,0,0,0,0
2000,AZ,217,71,37,752
2000,CA,623,164,495,742
2000,CO,309,45,141,0
2000,ES,1723,499,0,0
2000,ID,156,45,94,0
2000,MT,114,37,1,0
2000,NV,39,7,4022,132
2000,NM,483,117,,
2000,OR,329,46,0,0
2000,UT,257,18,250,0
2000,WY,438,25,1268,0
2000,NAT,392,48,733,1
2001,AK,0,0,0,0
2001,AZ,248,96,2,670
2001,CA,832,264,1470,581
2001,CO,248,80,265,0
2001,ES,2032,611,0,0
2001,ID,217,38,164,0
2001,MT,192,48,46,0
2001,NV,99,5,6238,130
2001,NM,815,216,15,0
2001,OR,411,82,958,0
2001,UT,248,28,646,132
2001,WY,373,39,1960,0
2001,NAT,339,69,0,0
2002,AK,0,0,0,0
2002,AZ,312,131,0,656
2002,CA,873,316,1006,530
2002,CO,311,54,373,0
2002,ES,2205,664,0,0
2002,ID,102,49,90,0
2002,MT,119,31,0,0
2002,NV,42,4,6321,21
2002,NM,914,259,0,0
2002,OR,304,93,849,0
2002,UT,221,19,1337,0
2002,WY,305,60,846,0
2002,NAT,279,79,0,0
2003,AK,0,0,0,0
2003,AZ,174,128,0,444
2003,CA,788,258,1106,624
2003,CO,150,38,3,0
2003,ES,1904,357,0,0
2003,ID,103,21,16,0
2003,MT,134,41,14,0
2003,NV,121,3,3938,148
2003,NM,853,163,0,0
2003,OR,225,62,303,0
2003,UT,141,28,375,0
2003,WY,188,1,3110,0
2003,NAT,201,83,0,0
2004,AZ,184,113,36,325
2004,CA,677,209,684,305
2004,CO,142,38,0,0
2004,ES,2377,267,0,0
2004,ID,187,7,292,0
2004,MT,35,10,0,0
2004,NV,122,1,4751,17
2004,NM,841,175,31,0
2004,OR,442,24,850,0
2004,UT,167,21,627,0
2004,WY,298,13,1981,0
2004,NAT,227,67,0,0
2005,AZ,218,91,1,53
2005,CA,705,231,992,252
2005,CO,292,17,357,0
2005,ES,1766,71,0,0
2005,ID,110,0,360,0
2005,MT,4,0,0,0
2005,NV,54,0,5805,68
2005,NM,916,69,23,0
2005,OR,313,6,891,0
2005,UT,173,20,248,0
2005,WY,420,1,1973,0
2005,NAT,222,2,0,0
2006,AZ,198,79,0,192
2006,CA,617,191,1355,72
2006,CO,202,20,278,0
2006,ES,1420,178,0,0
2006,ID,12,0,1,0
2006,MT,57,6,19,0
2006,NV,71,4,3876,873
2006,NM,930,90,5,0
2006,OR,294,0,1006,0
2006,UT,175,54,628,0
2006,WY,217,14,1621,0
2006,NAT,211,132,0,0
2007,AZ,139,91,33,79
2007,CA,571,217,542,203
2007,CO,221,24,168,0
2007,ES,1114,304,0,0
2007,ID,148,0,301,0
2007,MT,49,18,0,0
2007,NV,113,4,3362,818
2007,NM,717,107,5,0
2007,OR,156,1,358,0
2007,UT,246,34,312,0
2007,WY,214,7,1545,0
2007,NAT,206,71,0,0
2008,AZ,86,33,2,137
2008,CA,308,114,89,46
2008,CO,120,24,2,0
2008,ES,995,153,0,0
2008,ID,16,0,0,0
2008,MT,30,16,0,0
2008,NV,101,6,3782,1
2008,NM,906,70,5,0
2008,OR,216,3,322,0
2008,UT,173,32,95,83
2008,WY,137,6,711,0
2008,NAT,125,36,0,0
2009,AZ,55,28,0,78
2009,CA,226,90,392,372
2009,CO,132,12,263,0
2009,ES,1254,82,0,0
2009,ID,75,0,205,0
2009,MT,61,1,57,0
2009,NV,94,5,2158,2
2009,NM,741,32,0,0
2009,OR,163,0,874,0
2009,UT,167,11,1223,0
2009,WY,125,7,789,0
2009,NAT,104,9,0,0
